sampleID	x	y
83IZ5N015	-92.04190673	36.08605421
83IZ5N016	-92.04190673	36.08605421
83IZ5N017	-92.04190673	36.08605421
83IZ5N018	-91.92187939	36.06941087
83JA2N001	-91.26072605	35.56952508
83JA3N002	-91.18948154	35.63410563
83JE1N001	-91.97094027	34.12224071
83JE1N002	-92.22588863	34.22888776
83JE2N003	-92.09473586	34.18480151
83JE2N004	-92.09474863	34.18462124
83JE3N005	-92.01340402	34.18843105
83JE3N006	-91.97850681	34.14946666
83JE3N007	-92.11541385	34.21336877
83JE3N008	-92.08510524	34.1078132
83JE3N009	-92.11553174	34.1875324
83JE3N010	-92.01591181	34.16404803
83JE3U011	-92.07789492	34.19868137
83JE3U012	-92.20588309	34.30464806
83JE3U013	-92.20588309	34.30464806
83JE4N014	-92.03264126	34.34335209
83JE5N015	nan	nan
83JO1N001	-93.3012244	35.50300111
83JO1N002	-93.33435314	35.63965867
83JO1N003	-93.28646418	35.58177899
83JO1N004	-93.41035712	35.67449747
83JO1N005	-93.28980538	35.6207223
83JO1N006	-93.31577735	35.5840771
83JO1N007	-93.31503921	35.58443068
83JO1N008	-93.3050924	35.54609984
83JO1N009	-93.32851823	35.63892637
83JO1N010	-93.29968215	35.52120053
83JO1N011	-93.25723291	35.54588683
83JO1N012	-93.29256186	35.61957055
83JO1N013	-93.36404878	35.44078415
83JO1N014	-93.37516427	35.53055599
83JO1N015	-93.58515397	35.68010428
83JO1N016	-93.55506701	35.75404462
83JO1N017	-93.45314303	35.49035376
83JO1N018	-93.44666675	35.57109414
83JO1N019	-93.34671074	35.39037735
83JO1N020	-93.59236331	35.60585566
83JO1N021	-93.57279878	35.58716006
83JO1N022	-93.49314215	35.53925604
83JO1N023	-93.58970331	35.44162408
83JO1N024	-93.17384903	35.69356388
83JO1N025	-93.58811113	35.46962841
83JO1N026	-93.41465542	35.67232783
83JO1N027	-93.54721116	35.54472124
83JO1N028	-93.49369567	35.55577203
83JO1N029	-93.68763801	35.45924733
83JO1N030	-93.6494455	35.58707798
83JO1N031	-93.63394689	35.56589081
83JO1N032	-93.63390169	35.5657558
83JO1N033	-93.57030135	35.56184473
83JO1N034	-93.69149438	35.46302126
83JO1N035	-93.48808272	35.53991679
83JO1N036	-93.30143721	35.49502986
83JO2N037	-93.5575065	35.63581207
83JO2N042	-93.2289507	35.5165767
83JO2N043	-93.41503632	35.51294221
83JO2N047	-93.22792238	35.57021844
83JO2N048	-93.22311902	35.67654084
83JO2N053	-93.52763658	35.70386653
83JO2N054	-93.36799549	35.60316117
83JO2N067	-93.34808762	35.52608379
83JO2N069	-93.50394731	35.42178806
83LA2N001	-93.42480279	33.35891493
83LA2N002	-93.52647815	33.3760056
83LA2N003	-93.49323108	33.35007517
83LA3U004	-93.4985848	33.28241444
83LA3U005	-93.52472389	33.21421588
83LA3U006	-93.52926324	33.19465047
83LA3U007	-93.51048026	33.22830109
83LA3U008	-93.64293248	33.43662773
83LA3U009	-93.64293248	33.43662773
83LA3U010	-93.84661731	33.08355869
83LA3U011	-93.48660013	33.29403438
83LA3U012	-93.5486024	33.16648764
83LA3U013	-93.74985538	33.17318637
83LA3U014	-93.54100525	33.16758523
83LA3U015	-93.57195498	33.17546565
83LA4N016	-93.69075075	33.20916568
83LA5N017	-93.55463242	33.41982665
83LC3N001	-91.84129825	33.79962027
83LE2N001	-90.79308001	34.85956527
83LE2N002	-90.78911471	34.79314026
83LE2N003	-90.71536901	34.71629278
83LE3N004	-90.78488611	34.82618577
83LE3N005	-90.76131543	34.80921105
83LE3N006	-90.7359773	34.65637361
83LE3N007	-90.73061029	34.73108347
83LE3N008	-90.7164307	34.67806957
83LE3N009	-91.0765093	34.75497222
83LI3N009	-91.84697445	33.82582709
83LI3U002	-91.88040736	33.85981925
83LI3U003	nan	nan
83LI3U004	-91.88172414	33.87324166
83LI3U005	-91.84676388	33.81736579
83LI3U006	-91.84615487	33.80961321
83LI3U007	-91.84643655	33.81196967
83LI3U008	-91.84641993	33.8124024
83LI5N010	-91.74755947	33.79782935
83LN2N001	-91.56547174	34.84137001
83LN2N002	-92.11939215	35.05622767
83LN2N003	-92.11737393	35.05627612
83LN2N004	nan	nan
83LN2N005	-91.87675765	34.78372376
83LN2N006	-91.87354344	35.00984012
83LN2N007	-91.87372545	35.02054477
83LN2N008	-91.9643785	34.94513194
83LN3N009	-91.87675765	34.78372376
83LN3N010	-91.87354344	35.00984012
83LN3N011	-91.87372545	35.02054477
83LN3N012	-91.9643785	34.94513194
83LN3N013	-92.02070941	34.88799786
83LO1N001	-93.53348137	35.37358406
83LO1N002	-93.56712725	35.38030158
83LO1N003	-93.38649693	35.29853713
83LO1N004	-93.34534571	35.28182698
83LO1N005	-93.83955364	35.27860411
83LO1N006	-93.92732227	35.22852475
83LO1N007	-93.92779393	35.228449
83LO1N008	-93.37465245	35.31310066
83LO1N009	-93.42246632	35.23781385
83LO1N010	-93.74771139	35.20134637
83LO1N011	-93.49842265	35.26493643
83LO1N012	-93.38220228	35.3161518
83LO1N013	-93.30697357	35.29495995
83LO1N014	-93.32303076	35.29765929
83LO1N015	-93.32444748	35.29713251
83LO1N016	-93.3407894	35.24416689
83LO1N017	-93.82285597	35.09932871
83LO1N018	-93.79310837	35.10802097
83LO1N019	-93.79310837	35.10802097
83LO1N020	-93.82285597	35.09932871
83LO1N021	-93.82285597	35.09932871
83LO1N022	-93.80562093	35.1005806
83LO1N023	-93.83323757	35.10172846
83LO1N024	-93.46980162	35.32336325
83LO1N025	-93.42945523	35.23970086
83LO2N032	-93.87226026	35.0755663
83LO2N033	-93.86659606	35.07410107
83LO2N034	-93.95887155	35.22668298
83LO2N038	-93.68024485	35.14798503
83LO2N039	-93.7961222	35.24505784
83LO2N040	-93.91267546	35.2099985
83LO2N041	-93.65845241	35.15472391
83LO4N043	-93.8108537	35.22551083
83LR2N001	-94.2351173	33.70093813
83LR2N002	-94.33163952	33.74608237
83LR2N003	-94.10167326	33.67110374
83LR2N004	-93.99756576	33.68172832
83LR2N005	-94.39305125	33.69108738
83LR2N006	-94.14812822	33.75283169
83LR2N007	-94.14802363	33.75308519
83LR2N008	-94.14698762	33.73041304
83LR2N009	-94.0430945	33.68383254
83LR2N010	-94.14592084	33.70455749
83LR5N011	nan	nan
83LR5N012	nan	nan
83LW3N001	-91.26223971	35.99681036
83LW3N002	-91.13957905	36.09126211
83LW3N003	-91.29361385	36.09185146
83LW3N004	-91.21250507	36.18183125
83LW3N005	-91.19643043	36.11274748
83LW3N006	-91.17888363	36.17208472
83LW3N007	-91.33441338	36.06427289
83LW3N008	-91.20328655	36.11804282
83LW3N009	-91.1876945	36.17570699
83LW3N010	-91.33613077	36.06760513
83LW3N011	-91.33613077	36.06760513
83LW3N012	-91.19113483	36.11307326
83LW3N013	-91.19629613	36.12056094
83LW3N014	-91.23006895	36.19241372
83LW3N015	-91.2380497	36.18514874
83LW3N016	-91.23121004	36.18173056
83LW3N017	-91.17943183	36.17241758
83LW4N018	-91.24308235	36.16444457
83LW4N019	-91.24091838	35.96333463
83LW4N020	-91.24369097	36.16457069
83LW5N021	-91.20693498	36.17350883
83MA1N001	-93.73394582	36.22610544
83MA1N002	-93.59721403	36.08494309
83MA1N003	-93.59671498	36.08504475
83MA1N004	-93.59717247	36.08532196
83MA1N005	-93.74342125	36.2091431
83MA1N006	-93.6492651	36.20806817
83MA1N007	-93.72424596	36.2505421
83MA1N008	-93.83874425	35.83504131
83MA1N009	-93.83367896	35.80700101
83MA1N010	-93.83401505	35.80950511
83MA1N011	-93.84294669	35.82724923
83MA1N012	-93.8691722	35.89305828
83MA1N013	-93.79088738	35.92048449
83MA1N014	-93.79590567	35.81054786
83MA1N015	-93.6491354	35.83915428
83MA1N016	-93.79869621	35.85706951
83MA1N017	-93.7986586	35.80470529
83MA1N018	-93.51133478	36.03707001
83MA1N019	-93.51460445	36.08064714
83MA1N020	-93.64385679	36.21191994
83MA1N021	-93.64841603	36.00214728
83MA1N022	-93.76544163	36.24960943
